codigo;descripcion;capitulo;seccion;uEspecialista;uAyudantes;uAnestesista;cantidadAyudantes;gastos;total;notas
02.06.02;FOTOCOAGULACION CON RAYO LASER.;02;OPERACIONES EN LA ESCLEROTICA Y EN LA RETINA;159.75;;;;407;29735.6;01,02
02.06.03;RETINOPEXIA CON ESCLERECTOMIA E IMPLANTE.;02;OPERACIONES EN LA ESCLEROTICA Y EN LA RETINA;372.75;74.25;90.75;1;273;37522.3;01,01,01,02
02.06.04;RETINOPEXIA Y ESCLERECTOMIA.;02;OPERACIONES EN LA ESCLEROTICA Y EN LA RETINA;252.75;51;87;1;268;29849.6;01,01,01,02
02.06.05;RETINOPEXIA (DIATERMIA, CRIO, ETC.).;02;OPERACIONES EN LA ESCLEROTICA Y EN LA RETINA;252.75;51;87;1;224;27528.2;01,01,01,02
02.06.06;ESCLERECTOMIA CON EXTRACCION DE CUERPO EXTRAÑO, INTRAOC;02;OPERACIONES EN LA ESCLEROTICA Y EN LA RETINA;201.75;39.75;87;1;223;24255.9;01,01,01,02
02.07.01;EXTRACCION DEL CRISTALINO (CATARATAS).;02;OPERACIONES EN EL CRISTALINO;345;69;90.75;1;228;33441.4;01,01,01,02
02.07.02;EXTRACCION DE MASAS CRISTALINIANAS. DISCISION Y ASPIRAC;02;OPERACIONES EN EL CRISTALINO;119.25;30;80.25;1;220;19326.4;01,01,01,02
02.07.03;CAPSULOTOMIA.;02;OPERACIONES EN EL CRISTALINO;80.25;30;80.25;1;177;15040.6;01,01,01,02
02.07.04;Implante de lente intraocular en forma extracapsular;02;OPERACIONES EN EL CRISTALINO;;1;;1;;51.72;01
02.07.05;Implante de menbrana amniatica solo en quemaduras ignea;02;OPERACIONES EN EL CRISTALINO;;1;;1;;51.72;01
02.08.01;DACRIOCISTORRINOSTOMIA; FISTULIZACION DE SACO LAGRIMAL;02;OPERACIONES EN EL TRACTO LAGRIMAL;201.75;39.75;87;1;223;24255.9;01,01,01,02
02.08.02;ESCISION DE GLANDULA LAGRIMAL. ESCISION DE SACO LAGRIMA;02;OPERACIONES EN EL TRACTO LAGRIMAL;119.25;30;80.25;1;220;19326.4;01,01,01,02
02.08.03;DRENAJE DE GLANDULA O SACO LAGRIMAL (ABCESO). SECCION D;02;OPERACIONES EN EL TRACTO LAGRIMAL;12.75;;;;26;2031.19;01,01,01,02
02.08.04;CATETERIZACION DE CONDUCTO LAGRIMONASAL EN QUIROFANO CO;02;OPERACIONES EN EL TRACTO LAGRIMAL;39.75;;80.25;;49;4641.11;01,01,01,02
02.09.01;Fotocoagulacion con Yag Laser;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
02.09.02;Fotocoagulacion con Yag Laser Only Green;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
02.09.04;Fotocirugia con DYE laser;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
02.09.05;Fotocirugia con Kripton Laser;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01,01
02.09.06;Iridectomia por laser;02;OPERACIONES EN EL TRACTO LAGRIMAL;;0.01;;1;;0.52;01
02.09.07;TRABECULOPLASTIA c/ LASER;02;OPERACIONES EN EL TRACTO LAGRIMAL;500;;;;;4930;11
02.60.02;1 sesion de laser argon según presupuesto 020602;02;OPERACIONES EN EL TRACTO LAGRIMAL;566.75;;;;;5588.16;11
02.60.03;Cirugia Refractiva C/Eximer Laser (por ojo);02;OPERACIONES EN EL TRACTO LAGRIMAL;1400;;;;;13804;11
02.60.04;RETINOFLUORESCEINOGRAFIA BILATERAL;02;OPERACIONES EN EL TRACTO LAGRIMAL;420;;;;;4141.2;11
02.70.01;Módulo - Cirugia extracapsular de crist.con impl. LIO;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
02.70.02;FACOEMULSIFICACIÓN DE CRISTALINO C/IMPL.DE LIO;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
02.70.04;CATARATA Y GLAUCOMA COMBINADA;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
02.70.05;Modulo-glaucoma combinada c/catarata x facoemulsificacn;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
02.70.07;LASER ARGON;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
02.70.09;LASER ONLY GRREN;02;OPERACIONES EN EL TRACTO LAGRIMAL;;1;;1;;51.72;01
03.01.01;RECONSTRUCCION DEL PABELLON AURICULAR CON INJERTO DE CA;03;OPERACIONES EN EL OIDO EXTERNO;119.25;30;80.25;1;188;17638.1;01,01,01,02
03.01.02;OTOPLASTIA O RECONSTRUCCION DEL PABELLON (CUCURUCHO ANS;03;OPERACIONES EN EL OIDO EXTERNO;101.25;30;80.25;1;124;13330.5;01,01,01,02
03.01.03;OTOPLASTIA DE LOBULO HENDIDO.;03;OPERACIONES EN EL OIDO EXTERNO;39.75;30;80.25;1;75;7564.47;01,01,01,02
03.01.04;ESCISION COMPLETA O AMPUTACION DE PABELLON.;03;OPERACIONES EN EL OIDO EXTERNO;80.25;30;80.25;1;121;12086.1;01,01,01,02
